category,kernels,venue,year,title,authors,platform,approach,confidence,cited_by,doi,dblp_url,oa_url,one_liner,artifact_status,artifact_url,artifact_stars,artifact_license,artifact_last_push
Dense linear algebra,fused GEMM+AllToAll; fused GEMV+AllReduce; fused embedding+AllToAll,SC,2024,Optimizing Distributed ML Communication with Fused Computation-Collective Operations,Kishore Punniyamurthy; Khaled Hamidouche; Bradford M. Beckmann,nvidia-gpu,manual,medium,7,10.1109/SC41406.2024.00094,https://dblp.org/rec/conf/sc/PunniyamurthyHB24,,GPU-initiated fused computation-collective kernels overlap compute with All-to-All/AllReduce,none,,0,,
ML kernels (HPC-crossing),fused GEMM+AllToAll; fused GEMV+AllReduce; fused embedding+AllToAll,SC,2024,Optimizing Distributed ML Communication with Fused Computation-Collective Operations,Kishore Punniyamurthy; Khaled Hamidouche; Bradford M. Beckmann,nvidia-gpu,manual,medium,7,10.1109/SC41406.2024.00094,https://dblp.org/rec/conf/sc/PunniyamurthyHB24,,GPU-initiated fused computation-collective kernels overlap compute with All-to-All/AllReduce,none,,0,,
Dense linear algebra,Cholesky factorization; GEMM; Euclidean distance matrix generation,SC,2024,Toward Capturing Genetic Epistasis From Multivariate Genome-Wide Association Studies Using Mixed-Precision Kernel Ridge Regression,Hatem Ltaief; Rabab Alomairy; Qinglei Cao; Jie Ren; Lotfi Slim; Thorsten Kurth et al.,nvidia-gpu; distributed,algorithmic,high,11,10.1109/SC41406.2024.00012,https://dblp.org/rec/conf/sc/LtaiefACRSKDBAK24,,"Mixed-precision tensor-core Cholesky/GEMM for GWAS kernel ridge regression, 1.8 mixed-precision ExaOp/s",likely,https://github.com/ecrc/hicma-x,0,,
Dense linear algebra,LU factorization; GEMM,SC,2024,Unlocking High Performance with Low-Bit NPUs and CPUs for Highly Optimized HPL-MxP on Cloud Brain II,Weicheng Xue; Kai Yang; Yongxiang Liu; Dengdong Fan; Pengxiang Xu; Yonghong Tian 0001,other; cpu,algorithmic,high,2,10.1109/SC41406.2024.00088,https://dblp.org/rec/conf/sc/XueYLFXT24,,Algorithm-hardware co-optimized mixed-precision HPL-MxP LU factorization on NPUs+CPUs,none,,0,,
Dense linear algebra,GEMM,SC,2024,autoGEMM: Pushing the Limits of Irregular Matrix Multiplication on Arm Architectures,Du Wu; Jintao Meng 0001; Wenxi Zhu; Minwen Deng; Xiao Wang 0004; Tao Luo 0014 et al.,arm-cpu,codegen,high,10,10.1109/SC41406.2024.00027,https://dblp.org/rec/conf/sc/WuMZDW0WW24,https://www.osti.gov/servlets/purl/2480030,"autoGEMM: autotuned irregular GEMM micro-kernel generator for Arm, up to 2x over LIBXSMM",verified,https://github.com/wudu98/autoGEMM,15,MIT,2024-12-05
Dense linear algebra,GEMM,TPDS,2024,IrGEMM: An Input-Aware Tuning Framework for Irregular GEMM on ARM and X86 CPUs,Cunyang Wei; Haipeng Jia; Yunquan Zhang; Jianyu Yao; Chendi Li; Wenxuan Cao,arm-cpu; cpu,autotuning,high,5,10.1109/TPDS.2024.3432579,https://dblp.org/rec/journals/tpds/WeiJZYLC24,,IrGEMM: input-aware install-time/run-time tuning framework for irregular-shape GEMM on ARM/x86 CPUs,none,,0,,
Dense linear algebra,GEMM,TPDS,2024,Optimizing Full-Spectrum Matrix Multiplications on ARMv8 Multi-Core CPUs,Weiling Yang; Jianbin Fang; Dezun Dong; Xing Su 0004; Zheng Wang 0079,arm-cpu; cpu,library,high,8,10.1109/TPDS.2024.3350368,https://dblp.org/rec/journals/tpds/YangFDSW24,,LibShalom2: analytic-tuned full-spectrum (small/irregular/large) GEMM library for ARMv8 multi-core,none,,0,,
Dense linear algebra,GEMM; fused DL kernels,ASPLOS,2023,Graphene: An IR for Optimized Tensor Computations on GPUs,Bastian Hagedorn; Bin Fan; Hanfeng Chen; Cris Cecka; Michael Garland; Vinod Grover,nvidia-gpu,codegen,high,28,10.1145/3582016.3582018,https://dblp.org/rec/conf/asplos/HagedornFCCGG23,https://dl.acm.org/doi/pdf/10.1145/3582016.3582018,"GPU IR expressing optimized tensor computations (GEMM, fused DL kernels) with tensor-core thread mappings.",none,,0,,
ML kernels (HPC-crossing),GEMM; fused DL kernels,ASPLOS,2023,Graphene: An IR for Optimized Tensor Computations on GPUs,Bastian Hagedorn; Bin Fan; Hanfeng Chen; Cris Cecka; Michael Garland; Vinod Grover,nvidia-gpu,codegen,high,28,10.1145/3582016.3582018,https://dblp.org/rec/conf/asplos/HagedornFCCGG23,https://dl.acm.org/doi/pdf/10.1145/3582016.3582018,"GPU IR expressing optimized tensor computations (GEMM, fused DL kernels) with tensor-core thread mappings.",none,,0,,
Dense linear algebra,GEMM; Polybench affine kernels,CGO,2023,To Pack or Not to Pack: A Generalized Packing Analysis and Transformation,Caio Salvador Rohwedder; Nathan Henderson; João P. L. de Carvalho; Yufei Chen; José Nelson Amaral,cpu,codegen,high,7,10.1145/3579990.3580024,https://dblp.org/rec/conf/cgo/RohwedderHCCA23,,"GPAT: generalized packing loop transformation, MLIR, applied beyond GEMM to Polybench",none,,0,,
Dense linear algebra,GEMM; convolution,DAC,2023,A Comprehensive Automated Exploration Framework for Systolic Array Designs,Suhail Basalama; Jie Wang 0022; Jason Cong,fpga,autotuning,medium,7,10.1109/DAC56929.2023.10248016,https://dblp.org/rec/conf/dac/BasalamaWC23,,Odyssey DSE tool explores tiling/dataflow for systolic-array matmul and conv kernels on FPGA,verified,https://github.com/UCLA-VAST/Odyssey,0,,
ML kernels (HPC-crossing),GEMM; convolution,DAC,2023,A Comprehensive Automated Exploration Framework for Systolic Array Designs,Suhail Basalama; Jie Wang 0022; Jason Cong,fpga,autotuning,medium,7,10.1109/DAC56929.2023.10248016,https://dblp.org/rec/conf/dac/BasalamaWC23,,Odyssey DSE tool explores tiling/dataflow for systolic-array matmul and conv kernels on FPGA,verified,https://github.com/UCLA-VAST/Odyssey,0,,
Dense linear algebra,GEMM; matrix multiply,DAC,2023,"High Performance, Low Power Matrix Multiply Design on ACAP: from Architecture, Design Challenges and DSE Perspectives",Jinming Zhuang; Zhuoping Yang; Peipei Zhou 0001,fpga,codegen,high,27,10.1109/DAC56929.2023.10247981,https://dblp.org/rec/conf/dac/ZhuangYZ23,,"AutoMM auto-generates matrix-multiply accelerator designs on Versal ACAP, beating A100/U250/TX2 in efficiency.",verified,https://github.com/arc-research-lab/CHARM,174,MIT,2026-03-12
Dense linear algebra,GEMM,ICS,2023,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs,Shixun Wu; Yujia Zhai; Jinyang Liu 0003; Jiajun Huang 0001; Zizhe Jian; Bryan M. Wong et al.,nvidia-gpu,manual,high,13,10.1145/3577193.3593715,https://dblp.org/rec/conf/ics/WuZLHJWC23,https://dl.acm.org/doi/pdf/10.1145/3577193.3593715,High-performance fault-tolerant GEMM on GPUs beating cuBLAS,verified,https://github.com/shixun404/Fault-Tolerant-SGEMM-on-NVIDIA-GPUs,0,,
Dense linear algebra,GEMM,ICS,2023,Towards a Unified Implementation of GEMM in BLIS,RuQing G. Xu; Field G. Van Zee; Robert A. van de Geijn,cpu,manual,high,0,10.1145/3577193.3593707,https://dblp.org/rec/conf/ics/XuZG23,https://dl.acm.org/doi/pdf/10.1145/3577193.3593707?download=true,Unified BLIS GEMM for small and large sizes via packing fusion,none,,0,,
Dense linear algebra,LU factorization,ICS,2023,Using Additive Modifications in LU Factorization Instead of Pivoting,Neil Lindquist; Piotr Luszczek; Jack J. Dongarra,nvidia-gpu; distributed,algorithmic,high,5,10.1145/3577193.3593731,https://dblp.org/rec/conf/ics/LindquistLD23,,Additive-modification LU factorization avoiding pivoting on GPUs,none,,0,,
Dense linear algebra,GEMM,IPDPS,2023,A Machine Learning Approach Towards Runtime Optimisation of Matrix Multiplication,Yufan Xia; Marco De La Pierre; Amanda S. Barnard; Giuseppe M. J. Barca,cpu,autotuning,high,3,10.1109/IPDPS54959.2023.00059,https://dblp.org/rec/conf/ipps/XiaPBB23,https://arxiv.org/pdf/2601.09114,"ML model picks optimal thread count for multi-thread BLAS GEMM, 25-40% speedup",none,,0,,
Dense linear algebra,matrix transposition,IPDPS,2023,A Novel Triangular Space-Filling Curve for Cache-Oblivious In-Place Transposition of Square Matrices,João Nuno Ferreira Alves; Luís M. S. Russo; Alexandre P. Francisco; Siegfried Benkner,cpu,algorithmic,high,1,10.1109/IPDPS54959.2023.00045,https://dblp.org/rec/conf/ipps/AlvesRFB23,,Triangular space-filling-curve cache-oblivious blocking for in-place matrix transpose,none,,0,,
Dense linear algebra,im2col+GEMM; Winograd convolution,IPDPS,2023,Accelerating CNN inference on long vector architectures via co-design,Sonia Rani Gupta; Nikela Papadopoulou; Miquel Pericàs,sim; arm-cpu,algorithmic,medium,12,10.1109/IPDPS54959.2023.00024,https://dblp.org/rec/conf/ipps/GuptaPP23,,Co-designed BLIS-like im2col+GEMM & tiled Winograd CNN kernels for RVV/SVE vector CPUs,none,,0,,
ML kernels (HPC-crossing),im2col+GEMM; Winograd convolution,IPDPS,2023,Accelerating CNN inference on long vector architectures via co-design,Sonia Rani Gupta; Nikela Papadopoulou; Miquel Pericàs,sim; arm-cpu,algorithmic,medium,12,10.1109/IPDPS54959.2023.00024,https://dblp.org/rec/conf/ipps/GuptaPP23,,Co-designed BLIS-like im2col+GEMM & tiled Winograd CNN kernels for RVV/SVE vector CPUs,none,,0,,
Dense linear algebra,LU factorization; Cholesky factorization,IPDPS,2023,Data Distribution Schemes for Dense Linear Algebra Factorizations on Any Number of Nodes,Olivier Beaumont; Jean-Alexandre Collin; Lionel Eyraud-Dubois; Mathieu Vérité,distributed,algorithmic,high,2,10.1109/IPDPS54959.2023.00047,https://dblp.org/rec/conf/ipps/BeaumontCEV23,https://inria.hal.science/hal-04013708v1/file/article.pdf,Generalized tile-distribution schemes for LU/Cholesky factorization on arbitrary node counts,none,,0,,
Dense linear algebra,QR factorization (PDGEQRF); SuperLU_DIST; Hypre AMG,IPDPS,2023,Harnessing the Crowd for Autotuning High-Performance Computing Applications,Younghyun Cho; James Weldon Demmel; Jacob King; Xiaoye S. Li; Yang Liu 0179; Hengrui Luo,distributed; cpu,autotuning,medium,5,10.1109/IPDPS54959.2023.00069,https://dblp.org/rec/conf/ipps/ChoDKLLL23,,"Crowd-sourced transfer-learning autotuner (GPTuneCrowd) speeds PDGEQRF, SuperLU_DIST, Hypre tuning",likely,https://github.com/gptune/GPTune,0,,
Iterative-solver components,QR factorization (PDGEQRF); SuperLU_DIST; Hypre AMG,IPDPS,2023,Harnessing the Crowd for Autotuning High-Performance Computing Applications,Younghyun Cho; James Weldon Demmel; Jacob King; Xiaoye S. Li; Yang Liu 0179; Hengrui Luo,distributed; cpu,autotuning,medium,5,10.1109/IPDPS54959.2023.00069,https://dblp.org/rec/conf/ipps/ChoDKLLL23,,"Crowd-sourced transfer-learning autotuner (GPTuneCrowd) speeds PDGEQRF, SuperLU_DIST, Hypre tuning",likely,https://github.com/gptune/GPTune,0,,
Dense linear algebra,SYMM,IPDPS,2023,On the Arithmetic Intensity of Distributed-Memory Dense Matrix Multiplication Involving a Symmetric Input Matrix (SYMM),Emmanuel Agullo; Alfredo Buttari; Olivier Coulaud; Lionel Eyraud-Dubois; Mathieu Faverge; Alain Franc et al.,distributed,algorithmic,high,2,10.1109/IPDPS54959.2023.00044,https://dblp.org/rec/conf/ipps/AgulloBCEFFGJPP23,https://inria.hal.science/hal-04093162/document,Alternative data distributions raise arithmetic intensity of distributed symmetric matmul (SYMM) to GEMM level,none,,0,,
Dense linear algebra,QR factorization; rank-revealing QR,IPDPS,2023,PAQR: Pivoting Avoiding QR factorization,Wissam M. Sid-Lakhdar; Sébastien Cayrols; Daniel Bielich; Ahmad Abdelfattah; Piotr Luszczek; Mark Gates et al.,cpu; nvidia-gpu,algorithmic,high,4,10.1109/IPDPS54959.2023.00040,https://dblp.org/rec/conf/ipps/SidLakhdarCBALGTJWDDA23,,"PAQR: pivoting-avoiding QR factorization, QR-cost accuracy comparable to RRQR",verified,https://github.com/luszczek/paqr,0,BSD-3-Clause,2023-09-08
Dense linear algebra,batched GEMV,PPoPP,2023,A Scalable Hybrid Total FETI Method for Massively Parallel FEM Simulations,Kehao Lin; Chunbao Zhou; Yan Zeng; Ningming Nie; Jue Wang 0013; Shigang Li 0002 et al.,nvidia-gpu; distributed,manual,low,2,10.1145/3572848.3577517,https://dblp.org/rec/conf/ppopp/LinZZNWLFWYYZ023,https://dl.acm.org/doi/pdf/10.1145/3572848.3577517,New multi-stream batched GEMV kernel (+15-37% throughput/GFLOPs) inside a load-balanced HTFETI solver at 12k GPUs,none,,0,,
Iterative-solver components,batched GEMV,PPoPP,2023,A Scalable Hybrid Total FETI Method for Massively Parallel FEM Simulations,Kehao Lin; Chunbao Zhou; Yan Zeng; Ningming Nie; Jue Wang 0013; Shigang Li 0002 et al.,nvidia-gpu; distributed,manual,low,2,10.1145/3572848.3577517,https://dblp.org/rec/conf/ppopp/LinZZNWLFWYYZ023,https://dl.acm.org/doi/pdf/10.1145/3572848.3577517,New multi-stream batched GEMV kernel (+15-37% throughput/GFLOPs) inside a load-balanced HTFETI solver at 12k GPUs,none,,0,,
Dense linear algebra,symmetric eigenvalue decomposition; successive band reduction,PPoPP,2023,Fast Symmetric Eigenvalue Decomposition via WY Representation on Tensor Core,Shaoshuai Zhang; Ruchi Shah; Hiroyuki Ootomo; Rio Yokota; Panruo Wu,nvidia-gpu,algorithmic,high,5,10.1145/3572848.3577516,https://dblp.org/rec/conf/ppopp/ZhangSOYW23,,"WY-representation reformulation of successive band reduction for Tensor-Core EVD, up to 3.7x over ZY-based SOTA",none,,0,,
Dense linear algebra,mixed-precision LU factorization (HPL-MxP),SC,2023,5 ExaFlop/s HPL-MxP Benchmark with Linear Scalability on the 40-Million-Core Sunway Supercomputer,Rongfen Lin; Xinhui Yuan; Wei Xue 0003; Wanwang Yin; Jienan Yao; Junda Shi et al.,other; distributed,manual,high,10,10.1145/3581784.3607030,https://dblp.org/rec/conf/sc/LinYXYYSSSW23,https://dl.acm.org/doi/pdf/10.1145/3581784.3607030,"HPL-MxP mixed-precision solver scales linearly to 40M cores on Sunway, 5 ExaFlop/s at 85% peak",none,,0,,
Dense linear algebra,SVD (partial spectrum),SC,2023,High-Performance SVD Partial Spectrum Computation,David E. Keyes; Hatem Ltaief; Yuji Nakatsukasa; Dalal Sukkari,distributed; cpu,algorithmic,high,3,10.1145/3581784.3607109,https://dblp.org/rec/conf/sc/KeyesLNS23,https://doi.org/10.1145/3581784.3607109,"QDWH-based partial-spectrum SVD solver, up to 6x faster than ScaLAPACK PDGESVD on distributed manycore",none,,0,,
Dense linear algebra,LU factorization; panel factorization,SC,2023,Optimizing High-Performance Linpack for Exascale Accelerated Architectures,Noel Chalmers; Jakub Kurzak; Damon McDougall; Paul T. Bauman,amd-gpu; cpu; distributed,manual,high,11,10.1145/3581784.3607066,https://dblp.org/rec/conf/sc/ChalmersKMB23,,"rocHPL: CPU panel-factorization threading, core time-sharing, MPI-hiding for exascale HPL on Frontier",none,,0,,
Dense linear algebra,tile low-rank matrix-vector multiply,SC,2023,"Scaling the ""Memory Wall"" for Multi-Dimensional Seismic Processing with Algebraic Compression on Cerebras CS-2 Systems",Hatem Ltaief; Yuxi Hong 0001; Leighton Wilson; Mathias Jacquelin; Matteo Ravasi; David Elliot Keyes,other,manual,high,19,10.1145/3581784.3627042,https://dblp.org/rec/conf/sc/LtaiefHWJRK23,https://dl.acm.org/doi/pdf/10.1145/3581784.3627042,"Embarrassingly parallel TLR-MVM on 48 Cerebras CS-2 systems for seismic MDD, 92.58 PB/s bandwidth",verified,https://github.com/ecrc/tlrmvm,0,,
Dense linear algebra,tridiagonal solver,TPDS,2023,A Novel Compute-Efficient Tridiagonal Solver for Many-Core Architectures,Kan Liu; Wei Xue 0003,nvidia-gpu; cpu,algorithmic,high,1,10.1109/TPDS.2022.3214762,https://dblp.org/rec/journals/tpds/LiuX23,,"WM-pGE batched tridiagonal solver, 25%/12% faster than PCR-pThomas on V100/Intel KNL.",none,,0,,
Iterative-solver components,tridiagonal solver,TPDS,2023,A Novel Compute-Efficient Tridiagonal Solver for Many-Core Architectures,Kan Liu; Wei Xue 0003,nvidia-gpu; cpu,algorithmic,high,1,10.1109/TPDS.2022.3214762,https://dblp.org/rec/journals/tpds/LiuX23,,"WM-pGE batched tridiagonal solver, 25%/12% faster than PCR-pThomas on V100/Intel KNL.",none,,0,,
Dense linear algebra,GEMM; BLAS L1-L3 routines,TPDS,2023,FT-BLAS: A Fault Tolerant High Performance BLAS Implementation on x86 CPUs,Yujia Zhai; Elisabeth Giem; Kai Zhao 0008; Jinyang Liu 0003; Jiajun Huang 0001; Bryan M. Wong et al.,cpu,library,high,2,10.1109/TPDS.2023.3316011,https://dblp.org/rec/journals/tpds/ZhaiGZLHWSC23,,"FT-BLAS: fault-tolerant x86 BLAS implementation matching/beating MKL, OpenBLAS and BLIS with <3% FT overhead.",none,,0,,
Dense linear algebra,GEMM; transformer attention,TPDS,2023,Full-Stack Optimizing Transformer Inference on ARM Many-Core CPU,Jiazhi Jiang; Jiangsu Du; Dan Huang 0001; Zhiguang Chen 0001; Yutong Lu; Xiangke Liao,arm-cpu,manual,high,15,10.1109/TPDS.2023.3280805,https://dblp.org/rec/journals/tpds/JiangDHCLL23,,"Full-stack ARM many-core Transformer inference: tailored GEMM, NUMA-aware threading, sparse-format optimizations, up to 8x speedup.",none,,0,,
ML kernels (HPC-crossing),GEMM; transformer attention,TPDS,2023,Full-Stack Optimizing Transformer Inference on ARM Many-Core CPU,Jiazhi Jiang; Jiangsu Du; Dan Huang 0001; Zhiguang Chen 0001; Yutong Lu; Xiangke Liao,arm-cpu,manual,high,15,10.1109/TPDS.2023.3280805,https://dblp.org/rec/journals/tpds/JiangDHCLL23,,"Full-stack ARM many-core Transformer inference: tailored GEMM, NUMA-aware threading, sparse-format optimizations, up to 8x speedup.",none,,0,,
Dense linear algebra,GEMM; im2col convolution,TPDS,2023,LAS: Locality-Aware Scheduling for GEMM-Accelerated Convolutions in GPUs,Hyeonjin Kim; William J. Song,nvidia-gpu,manual,high,13,10.1109/TPDS.2023.3247808,https://dblp.org/rec/journals/tpds/KimS23,,"LAS: locality-aware GPU thread-block scheduling for GEMM-lowered convolutions, 20% faster with tensor cores.",none,,0,,
ML kernels (HPC-crossing),GEMM; im2col convolution,TPDS,2023,LAS: Locality-Aware Scheduling for GEMM-Accelerated Convolutions in GPUs,Hyeonjin Kim; William J. Song,nvidia-gpu,manual,high,13,10.1109/TPDS.2023.3247808,https://dblp.org/rec/journals/tpds/KimS23,,"LAS: locality-aware GPU thread-block scheduling for GEMM-lowered convolutions, 20% faster with tensor cores.",none,,0,,
Dense linear algebra,GEMM,ICS,2022,Seamless optimization of the GEMM kernel for task-based programming models,Arthur Francisco Lorenzon; Sandro Matheus V. N. Marques; Antoni C. Navarro; Vicenç Beltran 0001,cpu,manual,high,0,10.1145/3524059.3532385,https://dblp.org/rec/conf/ics/LorenzonMN022,http://hdl.handle.net/2117/369338,Task-based GEMM for OmpSs-2 beating MKL/AOCL,none,,0,,
Dense linear algebra,GEMM; DGEMM,IPDPS,2022,A Fine-grained Prefetching Scheme for DGEMM Kernels on GPU with Auto-tuning Compatibility,Jialin Li; Huang Ye; Shaobo Tian; Xinyuan Li; Jian Zhang 0070,amd-gpu,autotuning,high,4,10.1109/IPDPS53621.2022.00089,https://dblp.org/rec/conf/ipps/LiYTLZ22,,"Fine-grained prefetching scheme for DGEMM, auto-tuned via Tensile, ~1.10x speedup on GPU",verified,https://github.com/FFFLJL/Tensile-FGPS,0,,
Dense linear algebra,Cholesky factorization; TLR Cholesky,IPDPS,2022,A Framework to Exploit Data Sparsity in Tile Low-Rank Cholesky Factorization,Qinglei Cao; Rabab Alomairy; Yu Pei; George Bosilca; Hatem Ltaief; David E. Keyes et al.,cpu; distributed,manual,high,17,10.1109/IPDPS53621.2022.00047,https://dblp.org/rec/conf/ipps/CaoAPBLKD22,,Tile low-rank Cholesky factorization framework (PaRSEC+HiCMA) for 3D data-sparse problems,likely,https://github.com/ecrc/hicma-x,0,,
Dense linear algebra,randomized QB factorization; LU with tournament pivoting; ILUT,IPDPS,2022,Accuracy vs. Cost in Parallel Fixed-Precision Low-Rank Approximations of Sparse Matrices,Robert Ernstbrunner; Viktoria Mayer; Wilfried N. Gansterer,cpu; distributed,algorithmic,high,0,10.1109/IPDPS53621.2022.00051,https://dblp.org/rec/conf/ipps/ErnstbrunnerMG22,,"Parallel fixed-precision low-rank approximation algorithms (RandQB, LU_CRTP, ILUT_CRTP)",none,,0,,
Sparse linear algebra,randomized QB factorization; LU with tournament pivoting; ILUT,IPDPS,2022,Accuracy vs. Cost in Parallel Fixed-Precision Low-Rank Approximations of Sparse Matrices,Robert Ernstbrunner; Viktoria Mayer; Wilfried N. Gansterer,cpu; distributed,algorithmic,high,0,10.1109/IPDPS53621.2022.00051,https://dblp.org/rec/conf/ipps/ErnstbrunnerMG22,,"Parallel fixed-precision low-rank approximation algorithms (RandQB, LU_CRTP, ILUT_CRTP)",none,,0,,
Dense linear algebra,s-step Conjugate Gradient,IPDPS,2022,Mixed Precision $s$-step Conjugate Gradient with Residual Replacement on GPUs,Ichitaro Yamazaki; Erin Carson; Brian Michael Kelley,nvidia-gpu,algorithmic,high,6,10.1109/IPDPS53621.2022.00091,https://dblp.org/rec/conf/ipps/YamazakiCK22,https://www.osti.gov/servlets/purl/2001903,Mixed-precision s-step CG with residual replacement improves accuracy/speed on GPUs,none,,0,,
Iterative-solver components,s-step Conjugate Gradient,IPDPS,2022,Mixed Precision $s$-step Conjugate Gradient with Residual Replacement on GPUs,Ichitaro Yamazaki; Erin Carson; Brian Michael Kelley,nvidia-gpu,algorithmic,high,6,10.1109/IPDPS53621.2022.00091,https://dblp.org/rec/conf/ipps/YamazakiCK22,https://www.osti.gov/servlets/purl/2001903,Mixed-precision s-step CG with residual replacement improves accuracy/speed on GPUs,none,,0,,
Dense linear algebra,GEMM; matrix packing,IPDPS,2022,Modeling Matrix Engines for Portability and Performance,Nicholai Tukanov; Rajalakshmi Srinivasaraghavan; José E. Moreira; Tze Meng Low,cpu,manual,medium,8,10.1109/IPDPS53621.2022.00117,https://dblp.org/rec/conf/ipps/TukanovSML22,,Unified outer-product model for matrix-engine kernels reaches ~90-99% of peak throughput,none,,0,,
Dense linear algebra,TLR Cholesky; HODLR,IPDPS,2022,Parallel Approximations of the Tukey g-and-h Likelihoods and Predictions for Non-Gaussian Geostatistics,Sagnik Mondal; Sameh Abdulah; Hatem Ltaief; Ying Sun 0002; Marc G. Genton; David E. Keyes,cpu; distributed,algorithmic,high,4,10.1109/IPDPS53621.2022.00044,https://dblp.org/rec/conf/ipps/MondalAL0GK22,,Task-based TLR/HODLR low-rank matrix kernels for non-Gaussian geospatial likelihood,likely,https://github.com/ecrc/exageostat,0,,
Iterative-solver components,TLR Cholesky; HODLR,IPDPS,2022,Parallel Approximations of the Tukey g-and-h Likelihoods and Predictions for Non-Gaussian Geostatistics,Sagnik Mondal; Sameh Abdulah; Hatem Ltaief; Ying Sun 0002; Marc G. Genton; David E. Keyes,cpu; distributed,algorithmic,high,4,10.1109/IPDPS53621.2022.00044,https://dblp.org/rec/conf/ipps/MondalAL0GK22,,Task-based TLR/HODLR low-rank matrix kernels for non-Gaussian geospatial likelihood,likely,https://github.com/ecrc/exageostat,0,,
Dense linear algebra,quantized GEMM; bit-decomposed sparse matmul,PPoPP,2022,QGTC: accelerating quantized graph neural networks via GPU tensor core,Yuke Wang; Boyuan Feng; Yufei Ding 0001,nvidia-gpu,manual,high,47,10.1145/3503221.3508408,https://dblp.org/rec/conf/ppopp/WangFD22,https://dl.acm.org/doi/pdf/10.1145/3503221.3508408,"QGTC: Tensor-Core CUDA kernels for any-bitwidth quantized GNN computation, 2.7x over DGL",verified,https://github.com/YukeWang96/QGTC_PPoPP22,30,,2022-02-12
Graph kernels,quantized GEMM; bit-decomposed sparse matmul,PPoPP,2022,QGTC: accelerating quantized graph neural networks via GPU tensor core,Yuke Wang; Boyuan Feng; Yufei Ding 0001,nvidia-gpu,manual,high,47,10.1145/3503221.3508408,https://dblp.org/rec/conf/ppopp/WangFD22,https://dl.acm.org/doi/pdf/10.1145/3503221.3508408,"QGTC: Tensor-Core CUDA kernels for any-bitwidth quantized GNN computation, 2.7x over DGL",verified,https://github.com/YukeWang96/QGTC_PPoPP22,30,,2022-02-12
ML kernels (HPC-crossing),quantized GEMM; bit-decomposed sparse matmul,PPoPP,2022,QGTC: accelerating quantized graph neural networks via GPU tensor core,Yuke Wang; Boyuan Feng; Yufei Ding 0001,nvidia-gpu,manual,high,47,10.1145/3503221.3508408,https://dblp.org/rec/conf/ppopp/WangFD22,https://dl.acm.org/doi/pdf/10.1145/3503221.3508408,"QGTC: Tensor-Core CUDA kernels for any-bitwidth quantized GNN computation, 2.7x over DGL",verified,https://github.com/YukeWang96/QGTC_PPoPP22,30,,2022-02-12
Dense linear algebra,batched/irregular LU decomposition,SC,2022,Addressing Irregular Patterns of Matrix Computations on GPUs and Their Impact on Applications Powered by Sparse Direct Solvers,Ahmad Abdelfattah; Pieter Ghysels; Wajih Boukaram; Stanimire Tomov; Xiaoye Sherry Li; Jack J. Dongarra,nvidia-gpu; amd-gpu,manual,high,5,10.1109/SC41404.2022.00031,https://dblp.org/rec/conf/sc/AbdelfattahGBTLD22,,"irrLU-GPU: batched LU decomposition on irregularly-sized small matrices, speeds up sparse direct solvers",none,,0,,
Sparse linear algebra,batched/irregular LU decomposition,SC,2022,Addressing Irregular Patterns of Matrix Computations on GPUs and Their Impact on Applications Powered by Sparse Direct Solvers,Ahmad Abdelfattah; Pieter Ghysels; Wajih Boukaram; Stanimire Tomov; Xiaoye Sherry Li; Jack J. Dongarra,nvidia-gpu; amd-gpu,manual,high,5,10.1109/SC41404.2022.00031,https://dblp.org/rec/conf/sc/AbdelfattahGBTLD22,,"irrLU-GPU: batched LU decomposition on irregularly-sized small matrices, speeds up sparse direct solvers",none,,0,,
Dense linear algebra,3D matrix multiplication,SC,2022,CA3DMM: A New Algorithm Based on a Unified View of Parallel Matrix Multiplication,Hua Huang 0011; Edmond Chow,cpu; distributed,algorithmic,high,4,10.1109/SC41404.2022.00033,https://dblp.org/rec/conf/sc/HuangC22,,"CA3DMM: communication-avoiding 3D matmul algorithm with near-optimal comm cost, beats SOTA PGEMM",verified,https://github.com/scalable-matrix/CA3DMM,8,MIT,2023-05-04
Dense linear algebra,HPL-AI mixed-precision LU/GEMM,SC,2022,Climbing the Summit and Pushing the Frontier of Mixed Precision Benchmarks at Extreme Scale,Hao Lu 0001; Michael A. Matheson; Vladyslav Oles; J. Austin Ellis; Wayne Joubert; Feiyi Wang,nvidia-gpu; amd-gpu; distributed,manual,high,8,10.1109/SC41404.2022.00083,https://dblp.org/rec/conf/sc/LuMOEJW22,https://www.osti.gov/servlets/purl/1997799,Scaling/optimizing the mixed-precision HPL-AI benchmark on Summit and Frontier across GPU vendors,verified,https://github.com/at-aaims/OpenMxP,0,,
Dense linear algebra,LUD; Hotspot stencil; Needleman-Wunsch,SC,2022,Memory Optimizations in an Array Language,Philip Munksgaard; Troels Henriksen; Ponnuswamy Sadayappan; Cosmin E. Oancea,nvidia-gpu,codegen,high,6,10.1109/SC41404.2022.00036,https://dblp.org/rec/conf/sc/MunksgaardHSO22,,Functional array-language compiler with cost-free layout memory optimizations for GPU kernels,verified,https://github.com/diku-dk/futhark-mem-sc22,0,,
