venue,year,title,categories,kernels,platform,approach,confidence,cited_by,doi,one_liner,artifact_status,artifact_url,artifact_stars
DAC,2025,GPart: A GNN-Enabled Multilevel Graph Partitioner,graph; ml_kernels,graph partitioning,cpu,algorithmic,medium,0,10.1109/DAC63849.2025.11132100,GNN-embedding-enabled multilevel graph partitioner beating METIS/GAP/GenPart on cut size and memory,none,,0
DAC,2025,HiSpTRSV: Exploring Tile-Level Parallelism for SpTRSV Acceleration on FPGAs,sparse_la,SpTRSV,fpga; nvidia-gpu,manual,high,0,10.1109/DAC63849.2025.11133234,"Tile-level + inter-tile parallel SpTRSV FPGA accelerator, 3.58x speedup over GPU",none,,0
DAC,2025,Me-MPK: Accelerating Krylov Subspace Solvers via Memory-efficient Matrix-Power Kernel,sparse_la; solver_components,SpMV; Matrix-Power Kernel; symmetric SpMV,cpu; arm-cpu,algorithmic,high,1,10.1109/DAC63849.2025.11133082,"Cache-reuse + symmetry-aware scheduling for the Matrix-Power (chained SpMV) kernel in Krylov solvers, up to 2x",none,,0
DAC,2025,SSpMV: A Sparsity-aware SpMV Framework Empowered by Multimodal Machine Learning,sparse_la,SpMV,cpu,autotuning,medium,1,10.1109/DAC63849.2025.11132896,ML-based SpMV algorithm/parameter autotuning beating sparse libraries on multi-core,likely,https://github.com/lsl036/SSpMV,2
DAC,2025,VSpGEMM: Exploiting Versal ACAP for High-Performance SpGEMM Acceleration,sparse_la,SpGEMM,fpga,manual,medium,1,10.1109/DAC63849.2025.11132619,"SpGEMM on Versal ACAP with new BCSX format, 33x energy efficiency over cuSPARSE",none,,0
DAC,2025,Versatile Cross-platform Compilation Toolchain for Schrödinger-style Quantum Circuit Simulation,tensor,statevector simulation; gate fusion,cpu; nvidia-gpu,codegen,high,0,10.1109/DAC63849.2025.11132539,Cross-platform codegen toolchain for statevector quantum-circuit simulation on CPU/GPU,none,,0
DAC,2025,iG-kway: Incremental k-way Graph Partitioning on GPU,graph,graph partitioning,nvidia-gpu,algorithmic,high,8,10.1109/DAC63849.2025.11132904,"GPU incremental k-way graph partitioning, up to 84x over G-kway",none,,0
HPDC,2025,IPComp: Interpolation Based Progressive Lossy Compression for Scientific Applications,compression,lossy compression,cpu,algorithmic,high,7,10.1145/3731545.3731578,"Interpolation-based progressive lossy compressor, up to 487% higher ratio and 698% faster",verified,https://github.com/JasonYang60/IPComp,10
HPDC,2025,LiteForm: Lightweight and Automatic Format Composition for Sparse Matrix-Matrix Multiplication on GPUs,sparse_la,SpMM,nvidia-gpu,autotuning,high,1,10.1145/3731545.3731574,"Automatic composable sparse-format (CELL) selection for GPU SpMM, 2.06x over cuSPARSE",verified,https://github.com/johnpzh/liteform_ae,1
HPDC,2025,Optimization of GNN Training Through Half-precision,sparse_la; ml_kernels,SpMM,nvidia-gpu,manual,high,0,10.1145/3731545.3731575,"Half-precision GNN kernels with discretized overflow-safe SpMM, 2.3x faster training",none,,0
HPDC,2025,Optimizing Data Distribution and Kernel Performance for Efficient Training of Chemistry Foundation Models: A Case Study with MACE,tensor; ml_kernels,tensor contraction,nvidia-gpu; distributed,manual,high,2,10.1145/3731545.3731594,Optimized symmetric tensor-contraction kernel (plus load balancing) for MACE CFM training,none,,0
ICS,2025,A Multi-GPU Algorithm for Computing Maximal Independent Sets in Large Graphs,graph,maximal independent set,nvidia-gpu,algorithmic,high,2,10.1145/3721145.3730416,"Multi-GPU maximal independent set algorithm, 17-23x over single-GPU UVM",verified,https://github.com/burtscher/MG-MIS,0
ICS,2025,Accelerating Complex Stencil Computations with Adaptive Fusion Strategy,stencil_pde,stencil,nvidia-gpu,codegen,high,0,10.1145/3721145.3725768,Adaptive fusion compiler for complex GPU stencils guided by a CNN-GNN model,none,,0
ICS,2025,An Efficient 2D Fusion Method for High-Performance Two-Stage Eigensolvers on Modern Heterogeneous Architectures,dense_la; solver_components,eigensolver; tridiagonalization; back-transformation,nvidia-gpu; other,manual,high,0,10.1145/3721145.3730411,2D fusion for two-stage eigensolver back-transformation in MAGMA/LAPACK,none,,0
ICS,2025,BMQSim: Overcoming Memory Constraints in Quantum Circuit Simulation with a High-Fidelity Compression Framework,compression; tensor,lossy compression; state-vector simulation,nvidia-gpu,algorithmic,high,3,10.1145/3721145.3725747,GPU state-vector quantum simulation with novel error-bounded lossy compression,none,,0
ICS,2025,CB-SpMV: A Data Aggregating and Balance Algorithm for for Cache-Friendly Block-Based SpMV on GPUs,sparse_la,SpMV,nvidia-gpu,algorithmic,high,1,10.1145/3721145.3725746,"Cache-friendly 2D-blocked GPU SpMV, up to 3.95x over cuSPARSE/TileSpMV/DASP",verified,https://github.com/xing-cong/CB-Sparse,30
ICS,2025,"CLOVER: A GPU-native, Spatio-graph-based Approach to Exact kNN",primitives,kNN,nvidia-gpu,algorithmic,high,1,10.1145/3721145.3730415,"GPU-native graph-based exact kNN, 4-230x over grid/tree/FAISS",verified,https://github.com/ampslab/clover-knn,6
ICS,2025,CRAMG: A Communication-Reduced Algebraic Multigrid Method,solver_components; sparse_la,algebraic multigrid; SpMV,cpu; distributed,algorithmic,medium,2,10.1145/3721145.3725764,Communication-reduced algebraic multigrid via interpolation/restriction operator fusion,none,,0
ICS,2025,CoLa: Towards Communication-efficient Distributed Sparse Matrix-Matrix Multiplication on GPUs,sparse_la; ml_kernels,SpMM,nvidia-gpu; distributed,algorithmic,medium,4,10.1145/3721145.3730425,"Communication-efficient distributed GPU SpMM for GNNs, up to 58x over prior",none,,0
ICS,2025,DIV: An Index & Value compression method for SpMV on large matrices,sparse_la,SpMV,cpu,manual,high,2,10.1145/3721145.3725767,DIV index+value lossless compression format speeding SpMV ~2x over Intel MKL on CPUs,none,,0
ICS,2025,DR-CircuitGNN: Training Acceleration of Heterogeneous Circuit Graph Neural Network on GPUs,sparse_la; ml_kernels,SpMM,nvidia-gpu,manual,high,0,10.1145/3721145.3734528,"Sparsity-aware SpMM + Dynamic-ReLU kernels for heterogeneous circuit GNN training, up to 4x",none,,0
ICS,2025,Efficient Locality-aware Instruction Stream Scheduling for Stencil Computation on ARM Processors,stencil_pde,3D stencil,arm-cpu,codegen,high,1,10.1145/3721145.3725760,"AOStencil compiler: instruction-stream scheduling + GA tuning for stencils on ARM many-core, up to 4.4x",verified,https://github.com/buaa-hipo/AOStencil,2
ICS,2025,Fused3S: Fast Sparse Attention on Tensor Cores,sparse_la; ml_kernels,SDDMM; SpMM; sparse attention,nvidia-gpu,manual,high,0,10.1145/3721145.3730430,"Fused3S: fused SDDMM+softmax+SpMM sparse attention on tensor cores, up to 16x on H100/A30",verified,https://github.com/HPCForge/Fused3S,11
ICS,2025,HR-SpMM: Adaptive Row Partitioning and Hybrid Kernel Design for Sparse Matrix Multiplication,sparse_la; ml_kernels,SpMM,nvidia-gpu,manual,high,2,10.1145/3721145.3725770,"HR-SpMM adaptive row partitioning, hybrid Tensor/CUDA-core SpMM ~2x over cuSPARSE",none,,0
ICS,2025,IA-Chol: Input-Aware Cholesky Decomposition on CPU and GPU,dense_la,Cholesky,cpu; nvidia-gpu,manual,high,1,10.1145/3721145.3725756,"IA-Chol operator-fused input-aware Cholesky on CPU/GPU, beating cuSOLVER efficiency",none,,0
ICS,2025,Loop Fusion in Matrix Multiplications with Sparse Dependence,sparse_la; ml_kernels,fused SpMM; matrix multiplication,cpu,codegen,high,1,10.1145/3721145.3730427,"Tile-fusion compiler fusing consecutive matmuls with sparse dependence (GNN, sparse solve), 2.33x/1.32x",verified,https://github.com/SwiftWare-Lab/tile-fusion,0
ICS,2025,MAGNUS: Generating Data Locality to Accelerate Sparse Matrix-Matrix Multiplication on CPUs,sparse_la,SpGEMM,cpu,algorithmic,high,3,10.1145/3721145.3725773,"MAGNUS cache-locality-generating SpGEMM on CPUs, often order-of-magnitude over MKL",none,,0
ICS,2025,MG-αGCD: Accelerating Graph Community Detection on Multi-GPU Platforms,graph,community detection; graph coarsening,nvidia-gpu; distributed,algorithmic,medium,0,10.1145/3721145.3725753,"MG-αGCD: multi-GPU graph community detection with latency-aware comm-compute pipeline, probing heuristic, two-phase coarsening",none,,0
ICS,2025,Pushing the Limits of GPU Lossy Compression: A Hierarchical Delta Approach,compression,error-bounded lossy compression,nvidia-gpu,manual,high,5,10.1145/3721145.3725743,"Aatrox single-kernel GPU error-bounded lossy compressor, ~388/718 GB/s compress/decompress",none,,0
ICS,2025,SnuSOLVER: Optimizing Sparse Direct Solvers for Heterogeneous Systems,sparse_la,sparse direct solver; sparse LU factorization,cpu; nvidia-gpu; distributed,library,high,0,10.1145/3721145.3734531,"SnuSOLVER sparse direct-solver library, two-phase strategy beating SuperLU_DIST/STRUMPACK",none,,0
ICS,2025,StructILU: Dependency-Preserving Incomplete LU with Hierarchical Parallelism for Structured Grid PDEs on GPUs,sparse_la; solver_components; stencil_pde,ILU; SpTRSV; sparse factorization,nvidia-gpu,manual,high,2,10.1145/3721145.3725745,"StructILU dependency-preserving ILU + triangular solve on GPUs for structured-grid PDEs, up to 17.7x",none,,0
ICS,2025,TMModel: Modeling Texture Memory and Mobile GPU Performance to Accelerate DNN Computations,ml_kernels,DNN operator kernels (conv-like),other,autotuning,medium,3,10.1145/3721145.3725774,TMModel: texture-memory performance model drives a compiler that autotunes/generates optimized DNN kernels for mobile Adreno GPUs,none,,0
ICS,2025,ghZCCL: Advancing GPU-aware Collective Communications with Homomorphic Compression,compression,homomorphic lossy compression,nvidia-gpu; distributed,algorithmic,medium,4,10.1145/3721145.3733642,"ghZCCL: first GPU homomorphic lossy compressor, beating cuSZp2 by 3.47-3.89x, enabling compute-on-compressed collectives",none,,0
IPDPS,2025,A Bidirectional GPU Algorithm for Computing Maximum Matchings in Bipartite Graphs,graph,maximum bipartite matching,nvidia-gpu,algorithmic,high,2,10.1109/IPDPS64566.2025.00034,"ECL-MM: bidirectional GPU maximum-bipartite-matching algorithm, 1.63x over fastest prior GPU code.",verified,https://github.com/burtscher/ECL-MM,0
IPDPS,2025,A Memory-Efficient and Computation-Balanced Lossy Compressor on Wafer-Scale Engine,compression,error-bounded lossy compression,other,manual,high,5,10.1109/IPDPS64566.2025.00084,"CERESZ-II: memory-efficient error-bounded lossy compressor on Cerebras WSE, 800+ GB/s.",none,,0
IPDPS,2025,A New Spin on the Fast Multipole Method for GPUS: Rethinking the Far-Field Operators,nbody_md,FMM far-field; rotation operator,nvidia-gpu,manual,high,0,10.1109/IPDPS64566.2025.00075,"Fast-rotation far-field FMM operators with warp-centric octree GPU layout, 2.47x speedup.",none,,0
IPDPS,2025,Accelerating Graph Neural Networks Using a Novel Computation-Friendly Matrix Compression Format,sparse_la; dense_la; ml_kernels,binary matrix multiplication; GCN aggregation,cpu,algorithmic,high,0,10.1109/IPDPS64566.2025.00100,"CBM: compressed binary-matrix format, >5x faster GNN sparse-dense matmul than SOTA kernels.",verified,https://github.com/cbm4scale/CBM-IPDPS25,0
IPDPS,2025,Accelerating Homotopy Continuation with GPUs: Application to Trifocal Pose Estimation,solver_components,homotopy continuation solve,nvidia-gpu,algorithmic,medium,0,10.1109/IPDPS64566.2025.00110,"GPU homotopy-continuation solver optimizations (path pruning, early RANSAC exit), up to 17x speedup.",verified,https://github.com/Brown-LEMS/Trifocal_Pose_Estimation_using_Improved_GPUHC,0
IPDPS,2025,Accelerating Sparse Linear Solvers on Intelligence Processing Units,sparse_la; solver_components,SpMV; PBiCGStab; ILU,other,codegen,high,0,10.1109/IPDPS64566.2025.00095,"DSL-generated sparse linear solvers (SpMV/ILU/PBiCGStab) on Graphcore IPUs, up to 150x vs CPU/GPU.",verified,https://github.com/esa-tu-darmstadt/graphene,0
IPDPS,2025,Adapt-S: Effective DNN Pruning via Unified Accuracy and Performance Tuning,ml_kernels; sparse_la,structured-sparse matmul,nvidia-gpu,autotuning,medium,0,10.1109/IPDPS64566.2025.00018,AdAPT-S autotunes DNN pruning recipes and sparse-kernel tiling configs jointly for accuracy/perf.,none,,0
IPDPS,2025,Adaptive s-Step GMRES with Randomized and Truncated Low-Synchronization Orthogonalization,solver_components; dense_la; sparse_la,s-step GMRES; randomized orthogonalization,distributed; cpu,algorithmic,high,0,10.1109/IPDPS64566.2025.00096,"RTBGS-GMRES: randomized low-sync s-step GMRES orthogonalization, ~2-4x over BCGSI2-GMRES.",none,,0
IPDPS,2025,An Adaptive Two-Stage Algorithm for Error-Bounded Scientific Data Compression,compression; dense_la,SVD compression,cpu,algorithmic,high,2,10.1109/IPDPS64566.2025.00092,Two-stage SVD-based error-bounded compressor further compressing singular vectors for higher ratios.,none,,0
IPDPS,2025,Automated MPI-X Code Generation for Scalable Finite-Difference Solvers,stencil_pde,finite-difference stencil,distributed; cpu; nvidia-gpu,codegen,high,0,10.1109/IPDPS64566.2025.00067,Devito auto-generates MPI-X distributed-memory code for scalable finite-difference stencil solvers.,none,,0
IPDPS,2025,BRP-SpMM: Block-Row Partition Based Sparse Matrix Multiplication with Tensor and CUDA Cores,sparse_la; dense_la; ml_kernels,SpMM,nvidia-gpu,manual,high,1,10.1109/IPDPS64566.2025.00085,"BRP-SpMM: block-row partitioned SpMM splitting work across Tensor and CUDA cores, up to 2.9x.",none,,0
IPDPS,2025,Enabling Efficient Error-Controlled Lossy Compression for Unstructured Scientific Data,compression,prediction-based lossy compression,cpu,algorithmic,high,3,10.1109/IPDPS64566.2025.00040,Prediction-based error-controlled lossy compression framework for unstructured-mesh scientific data.,none,,0
IPDPS,2025,Enhanced JPEG Decoding Using PIM Architectures with Parallel MCU Processing,compression,JPEG decoding,other,manual,high,1,10.1109/IPDPS64566.2025.00111,NPD: PIM-based (UPMEM) parallel JPEG decoder exploiting multi-DPU MCU-level parallelism.,likely,https://github.com/jeun-990806/NPD,0
IPDPS,2025,FATHOM: Fast Attention Through Optimizing Memory,dense_la; ml_kernels,batched GEMM; attention,cpu; nvidia-gpu,manual,high,1,10.1109/IPDPS64566.2025.00106,"Memory-bandwidth-friendly layout & redesigned GEMM kernels for transformer attention, up to 6.7x throughput",none,,0
IPDPS,2025,Fast and Effective Lossy Compression on GPUs and CPUs with Guaranteed Error Bounds,compression,lossy compression; decompression,cpu; nvidia-gpu,manual,high,8,10.1109/IPDPS64566.2025.00083,"PFPL: error-bounded lossy compressor, CPU/GPU-portable, highest throughput and ratio vs 7 compressors",verified,https://github.com/burtscher/PFPL,0
IPDPS,2025,Gensor: A Graph-Based Construction Tensor Compilation Method for Deep Learning,tensor; ml_kernels,tensor program / operator kernels,nvidia-gpu,autotuning,high,1,10.1109/IPDPS64566.2025.00056,"Gensor: graph-based tensor compilation with Markov-analysis search, 18% avg operator speedup over SOTA",verified,https://github.com/EMLS-ICTCAS/Gensor,3
IPDPS,2025,Graph Input-Aware Matrix Multiplication for Pruned Graph Neural Network Acceleration,sparse_la; ml_kernels,SpMM,nvidia-gpu,manual,high,1,10.1109/IPDPS64566.2025.00086,"Input-aware virtualized SIMT slot mapping for pruned-GNN SpMM, improves scaling on H100 GPU",none,,0
IPDPS,2025,Improving the Efficiency of Interpolation-based Scientific Data Compressors with Adaptive Quantization Index Prediction,compression,"lossy compression (SZ3, QoZ, MGARD, HPEZ)",cpu; distributed,algorithmic,high,0,10.1109/IPDPS64566.2025.00091,"Quantization-index prediction exploiting correlation, boosts ratio of interpolation-based lossy compressors up to 95%",none,,0
IPDPS,2025,Less is More: Faster Maximum Clique Search by Work-Avoidance,graph; primitives,maximum clique search; set intersection,cpu,algorithmic,high,0,10.1109/IPDPS64566.2025.00025,"Work-avoidance techniques (filtering, early-exit intersection) speed up maximum clique search up to 38.9x",none,,0
IPDPS,2025,Longer Attention Span: Increasing Transformer Context Length With Sparse Graph Processing Techniques,graph; sparse_la; ml_kernels,sparse attention,nvidia-gpu,algorithmic,high,1,10.1109/IPDPS64566.2025.00107,"Graph-computing view of attention gives truly work-optimal sparse-mask kernels, beats FlashAttention, 160M token context",verified,https://github.com/KLab-AI3/Graph-Processing-Attention-IPDPS-2025,4
IPDPS,2025,Matcha: A Language and Compiler for Backtracking-Based Subgraph Matching,graph,subgraph matching,cpu; nvidia-gpu,codegen,high,1,10.1109/IPDPS64566.2025.00105,"Matcha: DSL/compiler generating optimized C++/CUDA subgraph-matching kernels, up to 60x speedup",none,,0
IPDPS,2025,NM-SpMM: Accelerating Matrix Multiplication Using N: M Sparsity with GPGPU,dense_la; sparse_la,N:M sparse GEMM,nvidia-gpu,manual,high,1,10.1109/IPDPS64566.2025.00087,"NM-SpMM: hierarchical-blocked N:M sparse matmul, 2.1x faster than nmSPARSE, up to 6.3x over cuBLAS dense GEMM",verified,https://github.com/CMa-X/NM-SpMM,10
IPDPS,2025,Parallel-in-Time Kalman Smoothing Using Orthogonal Transformations,dense_la; sparse_la; solver_components,QR factorization; selective matrix inversion,cpu; arm-cpu,algorithmic,high,0,10.1109/IPDPS64566.2025.00059,"Numerically-stable parallel-in-time Kalman smoother via novel structured-sparse QR and SelInv, 47x speedup on 64 cores",none,,0
IPDPS,2025,PivotScale: A Holistic Approach for Scalable Clique Counting,graph,k-clique counting,cpu,algorithmic,high,0,10.1109/IPDPS64566.2025.00024,"PivotScale: memory- and core-scalable parallelization of Pivoter exact clique counting, near-linear to 64 threads",none,,0
IPDPS,2025,PolyMorphous: An MLIR-Based Polyhedral Compiler with Loop Transformation Primitives,dense_la; stencil_pde,"PolyBench kernels (GEMM, stencils, etc.)",cpu; arm-cpu,codegen,high,0,10.1109/IPDPS64566.2025.00041,"PolyMorphous: MLIR polyhedral compiler with loop-transform primitives, matches/beats Pluto+ on PolyBench",none,,0
IPDPS,2025,Scalable and Portable LU Factorization with Partial Pivoting on Top of Runtime Systems,dense_la,LU factorization,cpu; distributed,manual,high,1,10.1109/IPDPS64566.2025.00094,"Task-based blocking/batching and reduction algorithms for LU with partial pivoting on STARPU, approaches HPL performance",none,,0
IPDPS,2025,SymProp: Scaling Sparse Symmetric Tucker Decomposition via Symmetry Propagation,tensor,Tensor-Times-Matrix-chain (TTMc); Tucker decomposition,cpu,algorithmic,high,0,10.1109/IPDPS64566.2025.00109,"SymProp: symmetry-propagated sparse symmetric TTMc/TTMcTC kernels, up to 50.9x speedup over SPLATT",verified,https://github.com/tensorworld/SymProp,0
IPDPS,2025,Tera-Scale Multilevel Graph Partitioning,graph,graph partitioning; label propagation clustering; FM local search,cpu; distributed,algorithmic,high,1,10.1109/IPDPS64566.2025.00033,"TeraPart: memory-efficient parallel multilevel graph partitioning, partitions trillion-edge graphs in minutes",verified,https://github.com/KaHIP/KaMinPar,56
IPDPS,2025,The Tensor-Core Beamformer: A High-Speed Signal-Processing Library for Multidisciplinary Use,dense_la,tensor-core beamforming,nvidia-gpu; amd-gpu,manual,high,3,10.1109/IPDPS64566.2025.00058,"Tensor-Core Beamformer library: 16-bit/1-bit precision beamforming, >600 TeraOps/s on MI300X, 3 PetaOps/s on A100",none,,0
PPoPP,2025,Acc-SpMM: Accelerating General-purpose Sparse Matrix-Matrix Multiplication with GPU Tensor Cores,sparse_la; dense_la,SpMM,nvidia-gpu,manual,high,10,10.1145/3710848.3710888,"Tensor-Core SpMM library with reordering/compressed format/pipelining, up to 5.1x over cuSPARSE",none,,0
PPoPP,2025,Accelerating GNNs on GPU Sparse Tensor Cores through N: M Sparsity-Oriented Graph Reordering,sparse_la; ml_kernels,SpMM; graph reordering,nvidia-gpu,algorithmic,high,6,10.1145/3710848.3710881,"Graph reordering to fit N:M sparsity for GNN SpMM on Sparse Tensor Cores, up to 43x over cuSPARSE",none,,0
PPoPP,2025,BerryBees: Breadth First Search by Bit-Tensor-Cores,graph,BFS,nvidia-gpu,manual,high,7,10.1145/3710848.3710859,Bitmap plus Tensor-Core-accelerated Breadth First Search with reduced memory footprint,none,,0
PPoPP,2025,FlashFFTStencil: Bridging Fast Fourier Transforms to Memory-Efficient Stencil Computations on Tensor Core Units,stencil_pde; fft_spectral; dense_la,FFT; 3D stencil,nvidia-gpu,manual,high,7,10.1145/3710848.3710897,"Bridges FFT to dense stencil computation on Tensor Core Units, 2.57x avg speedup",verified,https://github.com/KevinWu2017/FlashFFTStencil,0
PPoPP,2025,FlashSparse: Minimizing Computation Redundancy for Fast Sparse Matrix Multiplications on Tensor Cores,sparse_la; dense_la,SpMM; SDDMM,nvidia-gpu,manual,high,12,10.1145/3710848.3710858,"Swap-and-transpose strategy minimizes sparse granularity for SpMM/SDDMM on Tensor Cores, 5.5x over DTC-SpMM",verified,https://github.com/ParCIS/FlashSparse,39
PPoPP,2025,GLumin: Fast Connectivity Check Based on LUTs For Efficient Graph Pattern Mining,graph,graph pattern mining,nvidia-gpu; cpu,algorithmic,high,6,10.1145/3710848.3710889,Runtime lookup-table connectivity checks accelerate graph pattern mining by two orders of magnitude,verified,https://github.com/AnySparse/GLUMIN,6
PPoPP,2025,Improving Tridiagonalization Performance on GPU Architectures,dense_la; solver_components,tridiagonalization; bulge chasing,nvidia-gpu,manual,high,5,10.1145/3710848.3710894,"Double-blocking band reduction plus GPU bulge chasing, 9.3x faster tridiagonalization than cuSOLVER",likely,https://github.com/ynkrue/cuEV,0
PPoPP,2025,Jigsaw: Toward Conflict-free Vectorized Stencil Computation by Tessellating Swizzled Registers,stencil_pde; dense_la,3D stencil,cpu,manual,high,1,10.1145/3710848.3710886,"Conflict-free vectorized stencil computation via swizzled-register tessellation, 2.31x avg speedup",none,,0
PPoPP,2025,LibRTS: A Spatial Indexing Library by Ray Tracing,primitives,spatial point/range query; BVH traversal,nvidia-gpu,manual,high,5,10.1145/3710848.3710850,"Repurposes RT cores for general spatial indexing, up to 94x speedup on range queries",none,,0
PPoPP,2025,MARLIN: Mixed-Precision Auto-Regressive Parallel Inference on Large Language Models,dense_la; ml_kernels,mixed-precision GEMM,nvidia-gpu,manual,high,16,10.1145/3710848.3710871,Mixed-precision GPU GEMM kernels enabling memory-bound batched LLM inference speedups,verified,https://github.com/IST-DASLab/marlin,1108
PPoPP,2025,Popcorn: Accelerating Kernel K-means on GPUs through Sparse Linear Algebra,dense_la; sparse_la,kernel k-means; SpGEMM,nvidia-gpu,manual,high,2,10.1145/3710848.3710887,GPU kernel K-means accelerated via sparse linear algebra formulation,verified,https://github.com/HicrestLaboratory/Popcorn,10
PPoPP,2025,RT-BarnesHut: Accelerating Barnes-Hut Using Ray-Tracing Hardware,nbody_md,Barnes-Hut N-body,nvidia-gpu,algorithmic,high,2,10.1145/3710848.3710885,Reformulates Barnes-Hut N-body tree traversal as a ray-tracing problem on RT cores,none,,0
PPoPP,2025,Semi-StructMG: A Fast and Scalable Semi-Structured Algebraic Multigrid,sparse_la; stencil_pde; solver_components,algebraic multigrid,cpu; distributed,manual,high,1,10.1145/3710848.3710849,"Semi-structured algebraic multigrid with multi-dim coarsening, up to 15x faster than hypre variants",none,,0
PPoPP,2025,Swift Unfolding of Communities: GPU-Accelerated Louvain Algorithm,graph,Louvain community detection,nvidia-gpu,manual,high,1,10.1145/3710848.3710884,"GPU-accelerated Louvain with modularity-gain pruning and workload-aware kernels, 6x avg speedup",verified,https://github.com/LinXi-lx/GALA,2
PPoPP,2025,TurboFFT: Co-Designed High-Performance and Fault-Tolerant Fast Fourier Transform on GPUs,fft_spectral,FFT,nvidia-gpu,manual,high,7,10.1145/3710848.3710853,Architecture-aware fault-tolerant FFT on GPU rivaling cuFFT with low ABFT overhead,verified,https://github.com/shixun404/TurboFFT,9
SC,2025,A Nested Krylov Method Using Half-Precision Arithmetic,solver_components,FGMRES; Krylov solver; Richardson iteration,cpu,algorithmic,high,1,10.1145/3712285.3759807,"Nested FGMRES/Richardson Krylov solver exploiting fp16 inner iterations, up to 2.42x speedup",verified,https://github.com/suzuki-hpc/F3R,0
SC,2025,A Sample-Free Compilation Framework for Efficient Dynamic Tensor Computation,tensor; ml_kernels,dynamic tensor computation; micro-kernel composition,cpu; arm-cpu; nvidia-gpu,codegen,high,2,10.1145/3712285.3759779,Helix: sample-free dynamic-shape tensor compiler beating vendor libs by 2.26x,none,,0
SC,2025,Automatic Generation of Mappings for Distributed Fourier Operations,fft_spectral; dense_la,distributed FFT,distributed,codegen,high,3,10.1145/3712285.3759869,"Automatic SMT-solver-based mapping generator for distributed multi-dim FFTs, up to 31x over heFFTe/COSMA",none,,0
SC,2025,BLAZE: Exploiting Hybrid Parallelism and Size-customized Kernels to Accelerate BLASTP on GPUs,primitives,BLASTP sequence alignment,nvidia-gpu,manual,high,1,10.1145/3712285.3759892,BLAZE: GPU BLASTP protein-alignment kernel drop-in replacement beating CPU/GPU baselines,none,,0
SC,2025,Boosting Scientific Error-Bounded Lossy Compression through Optimized Synergistic Lossy-Lossless Orchestration,compression,lossy compression; interpolation prediction,nvidia-gpu,algorithmic,high,6,10.1145/3712285.3759798,"cuSZ-Hi: GPU lossy compressor combining optimized interpolation + lossless encoding, up to 249% ratio gain",none,,0
SC,2025,Bridging the Gap between Unstructured SpMM and Structured Sparse Tensor Cores,sparse_la; dense_la; ml_kernels,SpMM,nvidia-gpu,algorithmic,high,1,10.1145/3712285.3759849,"MP-SpMM: matching+padding converts unstructured SpMM to structured sparse-tensor-core format, up to 8.6x over RoDe",verified,https://github.com/CGCL-codes/MP-SpMM_SC25,1
SC,2025,Caracal: A GPU-Resident Sparse LU Solver with Lightweight Fine-Grained Scheduling,sparse_la; dense_la,sparse LU factorization,nvidia-gpu; distributed,manual,high,1,10.1145/3712285.3759792,"Caracal: GPU-resident sparse LU solver with fine-grained scheduling, up to 94x over PanguLU",none,,0
SC,2025,Constraint-Driven Auto-Tuning of GEMM-like Operators for MT-3000 Many-core Processor,dense_la,GEMM-like DL operators,other,autotuning,high,4,10.1145/3712285.3759898,DynaChain: constraint-driven auto-tuning of GEMM-like operators for MT-3000 VLIW+SIMD many-core,none,,0
SC,2025,DAS-ILU: A Distributed Asynchronous Parallel ILU Factorization Based on Domain Decomposition,sparse_la; solver_components,ILU factorization,distributed; cpu,algorithmic,high,1,10.1145/3712285.3759882,"DAS-ILU: domain-decomposed distributed asynchronous parallel ILU factorization, up to 4.1x over HYPRE",none,,0
SC,2025,DRIM-ANN: An Approximate Nearest Neighbor Search Engine based on Commercial DRAM-PIMs,primitives,approximate nearest neighbor search,other,algorithmic,medium,4,10.1145/3712285.3759801,"DRIM-ANN: ANNS engine on UPMEM DRAM-PIM using lookup tables instead of squaring, up to 2.67x over GPU",verified,https://github.com/KMC20/DRIM-ANN,1
SC,2025,FaSTCC: Fast Sparse Tensor Contractions on CPUs,sparse_la; tensor,sparse tensor contraction,cpu,algorithmic,high,2,10.1145/3712285.3759841,Hashing-based tiled sparse tensor contraction kernel (FaSTCC) with adaptive dense/sparse accumulators,none,,0
SC,2025,Fringe-SGC: Counting Subgraphs with Fringe Vertices,graph,subgraph counting,nvidia-gpu,algorithmic,high,1,10.1145/3712285.3759839,"GPU subgraph-counting kernel exploiting fringe vertices, up to 20x over SOTA SGC frameworks",verified,https://github.com/burtscher/Fringe-SGC,1
SC,2025,GPU Lossy Compression for HPC Can Be Versatile and Ultra-Fast,compression,lossy compression; decompression,nvidia-gpu,manual,high,5,10.1145/3712285.3759817,Versatile ultra-fast GPU lossy compression kernel (VGC) with memory-efficient and selective-decompress modes,verified,https://github.com/szcompressor/cuSZp,0
SC,2025,HP-MDR: High-performance and Portable Data Refactoring and Progressive Retrieval with Advanced GPUs,compression,bitplane encoding; lossless encoding,nvidia-gpu,manual,high,2,10.1145/3712285.3759845,"GPU-optimized bitplane/lossless encoding kernels for progressive data refactoring, up to 13.7x throughput",none,,0
SC,2025,HStencil: Matrix-Vector Stencil Computation with Interleaved Outer Product and MLA,stencil_pde,stencil computation,cpu,manual,high,3,10.1145/3712285.3759769,"Matrix/vector-unit stencil microkernels with interleaved outer product, up to 5.76x over auto-vectorization",none,,0
